name,pest_id_codex,pesticide,adi,adi_unit,adi_note,vetd_flag,residue,note
Insecticide,12,Chlordane,0.0005,mg/kg bw,(1986) converted to PTDI (1994),N,Plant commodities: Sum of cis- and trans-chlordane (fat-soluble). Animal commodities: Sum of cis- and trans-chlordane and oxychlordane(fat-soluble).,
Fumigant,52,Methyl Bromide,,mg/kg bw,,N,,Not cleared toxicologically by JMPR.
Herbicide,283,Fluazifop-p-butyl,0-0.004,mg/kg bw,(2016),,"For compliance with MRLs for plant commodities: Total fluazifop, defined as the sum of fluazifop-P-butyl, fluazifop-P-acid (II) and their conjugates, expressed as fluazifop-P-acid. For dietary risk assessment for plant commodities: Sum of fluazifop-P-butyl, fluazifop-P-acid (II), 2-[4-(3-hydroxy-5-trifluoromethyl-2-phenoxy)pyridyloxy] propionic acid (XL), 5-trifluoromethyl-2-pyridone (X) and their conjugates, expressed as fluazifop-P-acid. For compliance with MRLs and for dietary risk assessment for animal commodities: Total fluazifop, defined as the sum of fluazifop-P-butyl, fluazifop-P-acid (II) and their conjugates, expressed as fluazifop-P-acid. The residue is fat soluble.",The information provided to JMPR precludes an estimate that the dietary exposure would be below the ADI.
Herbicide,175,Glufosinate-Ammonium,0-0.01,mg/kg bw,(2012),N,"For compliance with MRL and for estimation of dietary intake for animal and plant commodities: Sum of glufosinate, 3-[hydroxy(methyl)phosphinoyl]propionic acid and N-acetyl-glufosinate, calculated as glufosinate (free acid). The residue is not fat soluble.",
Herbicide,187,Clethodim,0-0.2,mg/kg bw,(2019).,N,"Definition of the residue for compliance with the MRL for plant commodities: Sum of clethodim and its metabolites convertible to dimethyl 3-[2-(ethylsulfonyl)propyl]-pentanedioate (DME) and dimethyl 3-[2-(ethylsulfonyl)propyl]-3-hydroxy-pentanedioate (DME-OH), expressed as clethodim. Definition of the residue for compliance with the MRL for animal commodities: Sum of clethodim and its metabolites convertible to dimethyl 3-[2-(ethylsulfonyl)propyl]-pentanedioate (DME), expressed as clethodim. Definition of the residue for dietary risk assessment for plant and animal commodities: A conclusion could not be reached. The residue is fat-soluble.",
Insecticide,94,Methomyl,0.02,mg/kg bw,(2001),N,"For compliance with MRLs and for estimation of dietary intake for plant and animal commodities: Sum of methomyl and thiodicarb, expressed as methomyl. MRLs related to methomyl and (154) thiodicarb are combined into a single list.",
Herbicide,292,Pendimethalin,0-0.1,mg/kg bw,(2016),,For compliance with the MRL and for dietary risk assessment for plant and animal commodities: Pendimethalin.The residue is fat soluble.,
Fungicide,259,Sedaxane,0-0.1,mg/kg bw,(2012),N,For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Sedaxane. The residue is fat-soluble.,
Herbicide,214,Dimethenamid-P,0-0.07,mg/kg bw,The ADI and the ARfD apply to dimethenamid-P and the racemic dimethenamid (JMPR 2005).,N,For compliance with MRLs and for estimation of dietary intake: Dimethenamid-P and its enantiomer. This definition applies to both plant and animal commodities. The residue definition could apply to residues arising from the use of either dimethenamid-P or dimethanamid.,
Insecticide,118,Cypermethrins (including alpha- and zeta- cypermethrin),0-0.02,mg/kg bw,"Group ADI for cypermethrins, including alpha-cypermethrin and zeta-cypermethrin (2006)",Y,For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Cypermethrin (sum of isomers). The residue is fat soluble.,"Group ADI for cypermethrins, including alpha-cypermethrin and zeta-cypermethrin. Group ARfD for cypermethrins, including alpha-cypermethrin and zeta-cypermethrin. Source of data supporting the proposed MRLs: a: alpha-cypermethrin. c: cypermethrin. z: zeta-cypermethrin. Capital letters show the source of data responsible for the MRL estimate. Small letters show the sources of other data for that commodity."
Acaricide,263,Cyantraniliprole,0-0.03,mg/kg bw,(2013),,"For compliance with the MRL for plant and animal commodities: Cyantraniliprole. For dietary risk assessment for unprocessed plant commodities: Cyantraniliprole. For dietary risk assessment for processed plant commodities: Sum of cyantraniliprole and IN-J9Z38, expressed as cyantraniliprole. For dietary risk assessment for animal commodities: Sum of cyantraniliprole, 2-[3-Bromo-1-(3-chloro-2-pyridinyl)-1H-pyrazol-5-yl]-3,4-dihydro-3,8-dimethyl-4-oxo-6-quinazolinecarbonitrile [IN-J9Z38], 2-[3-Bromo-1-(3-chloro-2-pyridinyl)-1Hpyrazol-5-yl]-1,4-dihydro-8-methyl-4-oxo-6-quinazolinecarbonitrile [IN-MLA84], 3-Bromo-1-(3-chloro-2-pyridinyl)-N-[4-cyano-2-(hydroxymethyl)-6-[(methylamino)carbonyl]phenyl]-1H-pyrazole-5-carboxamide [IN- N7B69] and 3-Bromo-1-(3-chloro-2-pyridinyl)-N-[4-cyano-2[[(hydroxymethyl)amino]carbonyl]-6-methylphenyl]-1H-pyrazole-5-carboxamide [IN- MYX98],expressed as cyantraniliprole. The residue is not fat-soluble.",
Fungicide,243,Fluopyram,0-0.01,mg/kg bw,(2010),,"For compliance with the MRL and for estimation of dietary intake for plant commodities: Fluopyram. For compliance with the MRL for animal commodities: Sum of fluopyram and 2(trifluoromethyl)benzamide, expressed as fluopyram.  For estimation of dietary intake for animal commodities: Sum of fluopyram, 2(trifluoromethyl)benzamide and the combined residues of the E-olefine and Z-olefine isomers of fluopyram, all expressed as fluopyram. Although fluopyram (parent compound) is fat-soluble, the 2-(trifluoromethyl)benzamide metabolite (the major component of the residue) is not fat soluble.",
Herbicide,158,Glyphosate,0-1,mg/kg bw,"for the sum of glyphosate, N-acetyl-glyphosate, AMPA and N-acetyl-AMPA (2011)",,"For compliance with MRL for plant commodities - for soya bean, maize and rape: Sum of glyphosate and N-acetylglyphosate, expressed as glyphosate, for other crops: Glyphosate. For compliance with MRL for animal commodities: Sum of glyphosate and N-acetylglyphosate, expressed as glyphosate. For estimation of dietary intake) for plant and animal commodities: glyphosate, N-acetylglyphosate, AMPA and N-acetyl AMPA, expressed as glyphosate. The residue is not fat soluble.",
Fungicide,229,Azoxystrobin,0-0.2,mg/kg bw,(2008),,For compliance with the MRL and for estimation of dietary exposure for plant and animal commodities: Azoxystrobin. The residue is fat-soluble.,
Insecticide,245,Thiamethoxam, 0-0.08,mg/kg bw,(2010),N,"For compliance with the MRL for animal and plant commodities: Thiamethoxam. For estimation of the dietary intake for plant and animal commodities (except poultry): Thiamethoxam and clothianidin (considered separately). For estimation of the dietary intake for poultry: Sum of thiamethoxam, CGA 265307 and MU3, expressed as thiamethoxam; and clothianidin (clothianidin to be considered separately from thiamethoxam). The residue is not fat-soluble.",The recommendations for CGA322704 are listed in the clothianidin appraisal 2014.
Fungicide,210,Pyraclostrobin,0-0.03,mg/kg bw,(2003),N,For compliance with MRL and for estimation of dietary intake / risk assessment for plant and animal commodities: Pyraclostrobin. The residue is fat-soluble.,
Fungicide,64,Quintozene,0.01,mg/kg bw,for quintozene containing less than 0.1% hexachlorobenzene (1995),N,"Plant commodities: Quintozene (fat-soluble). Animal commodities: Sum of quintozene, pentachloroaniline and methyl pentachlorophenyl sulphide, expressed as quintozene (fat-soluble).",
Synergist,62,Piperonyl Butoxide,0.2,mg/kg bw,(1995),N,Piperonyl butoxide (fat-soluble),
Insecticide,63,Pyrethrins,0-0.04,mg/kg bw,"(1972); confirmed (1999, 2005)",N,"For compliance with MRLs and estimation of dietary intake for plant and animal commodities: Total pyrethrins, calculated as the sum of pyrethrins 1 and 2, cinerins 1 and 2, and jasmolins 1 and 2, determined after calibration with the World Standard pyrethum extract.",
Herbicide,31,Diquat,0-0.006,mg/kg bw,(2013),,For compliance with the MRL and dietary risk assessment for plant and animal commodities: Diquat ion. The residue is not fat-soluble.,
Insecticide,238,Clothianidin,0-0.1,mg/kg bw,(2010),N,For compliance with the MRL and for estimation of the dietary intake for plant and animal commodities: Clothianidin. The residue is not fat soluble.,"T = based on thiamethoxam use only; c,T or C,t = combined clothianidin and thiamethoxam use."
Fungicide,226,Pyrimethanil,0-0.2,mg/kg bw,(2007),,"For compliance with MRL and dietary intake for plant commodities: Pyrimethanil. For compliance with the MRL and for dietary intake estimation for milk: Sum of pyrimethanil and 2-anilino-4,6-dimethylpyrimidin-5-ol, expressed as pyrimethanil. For compliance with the MRL and for dietary intake estimation) for livestock tissues (excluding poultry): Sum of pyrimethanil and 2-(4-hydroxyanilino)-4,6-dimethylpyrimidine, expressed as pyrimethanil. The residue is not fat-soluble.",
Fungicide,256,Fluxapyroxad,0-0.02,mg/kg bw,(2012),,"For compliance with the MRL for plant and animal commodities: Fluxapyroxad. For estimation of dietary intake) for plant commodities: Sum of fluxapyroxad and 3-difluoromethyl)- N-(3′,4′,5′-trifluoro[1,1′- biphenyl]-2-yl)-1H-pyrazole-4-carboxamide (M700F008) and 3-(difluoromethyl)- 1-(ß-D-glucopyranosyl)-N-(3′,4′,5′-triflurobipheny-2-yl)-1H-pyrzaole-4- carboxamide (M700F048) and expressed as parent equivalents. For estimation of dietary intake) for animal commodities: Sum of fluxapyroxad and 3-(difluoromethyl)- N-(3′,4′,5′-trifluoro[1,1′- biphenyl]-2-yl)-1H-pyrazole-4-carboxamide (M700F008) expressed as parent equivalents. The residue is fat soluble.",The JMPR 2018 concluded that the new studies support the existing ADI of 0-0.02 mg/kg bw and have no impact on the ARfD of 0.3 mg/kg bw established in 2012.
Insecticide,132,Methiocarb,0-0.02,mg/kg bw,"(1998), confirmed (2005)",N,"For compliance with MRLs and for estimation of dietary intake in plant commodities: The sum of methiocarb, methiocarb sulfoxide and methiocarb sulfone, expressed as methiocarb.",
Acaricide and Insecticide,178,Bifenthrin,0-0.01,mg/kg bw,(2009),,For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Bifenthrin (sum of isomers). The residue is fat-soluble.,
Herbicide,276,Imazamox,0-3,mg/kg bw,(2014),N,"For compliance with the MRL for plant and animal commodities: Imazamox. For estimation of dietary exposure for plant and animal commodities: Sum of imazamox and 5-(hydroxymethyl)-2-(4-isopropyl-4-methyl-5-oxo-2-imazazolin-2-yl) nicotinic acid (CL 263284), expressed as imazamox. The residue is not fat-soluble.",
Fungicide,253,Penthiopyrad,0-0.1,mg/kg bw,(2011),,"For compliance with MRL for plant commodities: Penthiopyrad. For compliance with MRL for animal commodities and for the estimation of dietary intake for plant and animal commodities: Sum of penthiopyrad and 1-methyl-3-trifluoromethyl-1H-pyrazole-4-carboxamide (PAM), expressed as penthiopyrad. The residue is not fat-soluble.",
Insecticide,242,Flubendiamide,0-0.02,mg/kg bw,(2010),,For compliance with the MRL and for estimation of dietary intake for plant commodities: Flubendiamide. For compliance with the MRL for animal commodities: Flubendiamide. For estimation of dietary intake for animal commodities: Flubendiamide and flubendiamide-iodophthalimide. The residue is fat-soluble.,
Fungicide,261,Benzovindiflupyr,0-0.05,mg/kg bw,(2013),,For compliance with the MRL and for dietary risk assessment for plant and animal commodities: Benzovindiflupyr.,
Fungicide,258,Picoxystrobin,0-0.09,mg/kg bw,(2012),,For compliance with the MRL and for estimation of dietary exposure for animal and plant commodities: Picoxystrobin. The residue is fat-soluble,
Aphicide,101,Pirimicarb,0-0.02,mg/kg bw,"(1982), confirmed (2006)",N,"For estimation of dietary intake: Sum of  pirimicarb, and its demethyl, demethyl formamido metabolites, expressed as pirimicarb for plant commodities and pirimicarb (parent compound only) for animal commodities.",
Fungicide,181,Myclobutanil,0.03,mg/kg bw,(2014),N,"For compliance with the MRL) for plant and animal commodities: Myclobutanil. For estimation of dietary intake for and animal commodities: Myclobutanil. For estimation of dietary intake) for plant commodities: Sum of myclobutanil, α-(4-chlorophenyl)-α-(3-hydroxybutyl)-1H-1,2,4-triazole- 1-propanenitrile (RH-9090) and its conjugates, expressed as myclobutanil. The residue is not fat-soluble.",
Herbicide,280,Acetochlor,0-0.01,mg/kg bw,(2015),,"For compliance with MRL and for estimation of dietary intake for animal and plant commodities: Sum of compounds hydrolysable with base to 2-ethyl-6-methylaniline (EMA) and 2-(1-hydroxyethyl)-6-methylaniline (HEMA), expressed in terms of acetochlor. The residue is not fat soluble.",
Fungicide,309,Pydiflumetofen,0-0.1,mg/kg bw,(2018),,"For compliance with the MRL and dietary risk assessment for plant commodities: Pydiflumetofen. For compliance with the MRL for animal commodities: Pydiflumetofen. For dietary risk assessment for animal commodities other than mammalian liver and kidney: Sum of pydiflumetofen and 2,4,6-trichlorophenol (2,4,6-TCP) and its conjugates, expressed as pydiflumetofen. For dietary risk assessment for mammalian liver and kidney: Sum of pydiflumetofen, 2,4,6-trichlorophenol (2,4,6-TCP) and its conjugates, and 3-(difluoromethyl)-N-methoxy-1-methyl-N-[1-methyl-2-(2,4,6-trichloro-3-hydroxy- phenyl) ethyl]pyrazole-4-carboxamide (SYN547897) and its conjugates, expressed as pydiflumetofen. The residue is fat-soluble",
Insecticide,234,Spirotetramat,0-0.5,mg/kg bw,(2008),,"For compliance with MRL for plant commodities: Spirotetramat and its enol metabolite, 3-(2,5-dimethylphenyl)-4-hydroxy-8-methoxy-1-azaspiro[4.5]dec-3-en-2-one, expressed as spirotetramat. For estimation of dietary intake for plant commodities: Spirotetramat, enol metabolite 3-(2,5-dimethylphenyl)-4-hydroxy-8-methoxy-1-azaspiro[4.5]dec-3-en-2-one, ketohydroxy metabolite 3-(2,5-dimethylphenyl)-3-hydroxy-8-methyoxy-1-azaspiro[4.5]decane-2,4-dione, monohydroxy metabolite cis-3-(2,5-dimethylphenyl)-4-hydroxy-8-methoxy-1-azaspiro[4.5]decan-2-one, and enol glucoside metabolite glucoside of 3-(2,5-dimethylphenyl)-4-hydroxy-8-methoxy-1-azaspiro[4.5]dec-3-en-2-one, expressed as spirotetramat. For compliance with MRL and estimation of dietary intake for animal commodities: Spirotetramat enol metabolite, 3-(2,5-dimethylphenyl)-4-hydroxy-8-methoxy-1-azaspiro[4.5]dec-3-en-2-one, expressed as spirotetramat. The residue is not fat-soluble.",
Herbicide,268,Isoxaflutole,0-0.02,mg/kg bw,(2013),,"Definition of the residue for compliance with the MRL and dietary risk assessment for plant commodities: Sum of isoxaflutole and isoxaflutole diketonitrile, expressed as isoxaflutole. Definition of the residue for compliance with the MRL for animal commodities: Sum of isoxaflutole and isoxaflutole diketonitrile, expressed as isoxaflutole. Definition of the residue for dietary risk assessment for animal commodities: Sum of isoxaflutole, isoxaflutole diketonitrile, RPA 205834 (2-aminomethylene-l-cyclopropyl-3-(2-mesyl-4-trifluoromethylphenyl)-propane-1,3-dione) and RPA 207048 (1-cyclopropyl-2-hydroxymethylene-3-(2-mesyl-4-trifluoromethylphenyl)-propane-1,3-dione), including their conjugates, expressed as isoxaflutole. The residue not fat-soluble.",
Herbicide,240,Dicamba,0-0.3,mg/kg bw,(2010),,For compliance with the MRL for plant commodities: Dicamba. For estimation of dietary intake for plant commodities: sum of dicamba and 5-OH dicamba expressed as dicamba. For compliance with the MRL and for estimation of dietary intake for animal commodities: Sum of dicamba and DCSA expressed as dicamba. The residue is not fat-soluble.,
Fungicide,160,Propiconazole,0-0.07,mg/kg bw,(2004),N,"For compliance with the MRL for plant and animal commodities: Propiconazole. For the estimation of dietary exposure / for dietary risk assessment for plant and animal commodities: Propiconazole plus all metabolites convertible to 2,4-dichloro-benzoic acid, expressed as propiconazole. The residue is fat-soluble.",
Insecticide,120,Permethrin,0.05,mg/kg bw,"(1987), confirmed (1999)",N,Permethrin (sum of isomers) (fat-soluble). ADI applies to technical grade permethrin with cis:trans ratios of 25:75 to 40:60.,"Permethrin was reviewed by JECFA54 (2000) but as a different formulation (cis:trans ration of 80:20) was used for veterinary applications, it did not make any proposals on ADI or MRLs."
Herbicide,57,Paraquat,0-0.005,mg/kg bw,mg paraquat ion/kg body weight (2003),N,For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Paraquat cation.,No short-term dietary intake was calculated due to insufficient data (JMPR 2003).
Insecticide,206,Imidacloprid,0-0.06,mg/kg bw,(2001),,"For compliance with the MRL and for estimation of dietary exposure for plant and animal commodities: Sum of imidacloprid and its metabolites containing the 6-chloropyridinyl moiety, expressed as imidacloprid. The residue is not fat soluble.",
Fungicide,72,Carbendazim,0.03,mg/kg bw,(1995),N,"For compliance with MRLs and estimation of dietary intake : Sum of benomyl, carbendazime and thiophanate-methyl, expressed as carbendazim.","Compounds for which sufficient data from trials complying with GAP were provided (B, benomyl; C, carbendazim; Th, thiophanate-methyl). Letters in upper case indicate the source(s) of the data on which the MRL is based."
Nematocide,311,Tioxazafen,0-0.05,mg/kg bw,(2018),,"For compliance with the MRL and dietary risk assessment for plant and animal commodities: Sum of tioxazafen and benzamidine (benzenecarboximidamide), expressed as tioxazafen. The residue is not fat soluble.",
Herbicide,20,"2,4-D",0-0.01,mg/kg bw,"for sum of 2,4-D and its salts and esters expressed as 2,4-D (1996)",N,"For compliance with MRLs and for estimation of dietary exposure for plant and animal commodities: Sum of 2,4-D.",
Insecticide,8,Carbaryl,0-0.008,mg/kg bw,(2001),N,For compliance with MRLs and for estimation of dietary intake: Carbaryl.,
Insecticide,157,Cyfluthrin/beta-cyfluthrin,0-0.04,mg/kg bw,Group ADI (2006),Y,For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Cyfluthrin (sum of isomers). The residue is fat-soluble.,
Herbicide,239,Cyproconazole,0-0.02,mg/kg bw,(2010),,"For compliance with the MRL for animal and plant commodities: Cyproconazole. For estimation of dietary intake for plant commodities: Cyproconazole. For estimation of dietary intake for animal commodities: Cyproconazole, free and conjugated. The residue is fat-soluble.",
Insecticide,254,Chlorfenapyr,0-0.03,mg/kg bw,(2012),,For compliance with the MRL for plant and animal commodities: Chlorfenapyr. For dietary risk assessment for plant and animal commodities: Sum of chlorfenapyr plus 10 × 4-bromo-2-(p-chlorophenyl)-5-(trifluoromethyl)-pyrrole-3-carbonitrile (tralopyril). The residue is fat-soluble.,"The 2018 JMPR Meeting that no revision of the ADI or ARfD was necessary. JMPR also concluded that six metabolites identified in residue studies - CL322250 (M-5A), CL325195 (M-5), CL152837 (M-4), CL152832 (M-7A), CL152835 (M-6) and CL325157 (M-6A) - were toxicologically not relevant at currently estimated dietary exposures."
Insecticide,252,Sulfoxaflor,0-0.05,mg/kg bw,(2011),N,For compliance with the MRL and for estimation of dietary intake / risk assessment for plant and animal commodities: Sulfoxaflor. The residue is not fat soluble.,
Insecticide,216,Indoxacarb,0-0.01,mg/kg bw,(2005),,"For compliance with the MRL for all commodities and for estimation of dietary intake for plant commodities: Sum of indoxacarb and its R enantiomer. For estimation of dietary intake for animal commodities: Sum of indoxacarb, its R enantiomer and methyl 7-chloro-2,5-dihydro-2-[[[4-(trifluoromethoxy)phenyl] amino]carbonyl]indeno[1,2-e][1,3,4]oxadiazine-4a(3H)-carboxylate, expressed as indoxacarb. The residue is fat soluble.",
Fungicide,232,Prothioconazole,0-0.05,mg/kg bw,(2008),N,"For compliance with MRL and estimation of dietary exposure for plant commodities: Prothioconazole-desthio. For compliance with the MRL for animal commodities: Prothioconazole-desthio. For the estimation of dietary exposure for animal commodities: Sum of prothioconazole-desthio, prothioconazole-desthio-3-hydroxy, prothioconazole-desthio-4-hydroxy and their conjugates expressed as prothioconazole-desthio. The residue is not fat soluble",Prothioconazole ARfD: Unnecessary (general population) Prothioconazole-desthio:  ADI: 0-0.01 mg/kg bw ARfD: 0.01 mg/kg bw (woman of child bearing age) ARfD: 1 mg/kg bw (general population)
Fungicide,105,Dithiocarbamates,0-0.03,mg/kg bw,"Group ADI (or in any combination) for ethylene-bis-dithiocarbamates (EBDCs: mancozeb, maneb, metiram and zineb) (1993)",N,"For compliance with MRLs in plant and animal commodities: Total dithiocarbamates, determined as CS2, evolved during acid digestion and expressed as mg CS2/kg. For the estimation of dietary intake in plant and animal commodities: mancozeb plus ethylenethiourea (ETU). Dithiocarbamate residues are not fat soluble.","An ADI of 0-0.004 mg/kg bw for their metabolite ethylenethiourea (ETU). Recommended MRLs refer to the total residues from the use of any or each of the dithiocarbamates. Recommendations are based on trials with; n, maneb; m, metiram; c, mancozeb; p, propineb; h, thiram, z, ziram.  Compounds shown  in upper case are those on which estimates of MRLs are mainly based.  The 1995 JMPR changed the expression of residue definition. Propineb: ADI for propineb 0-0.007 mg/kg/bw. Interim ARfD: 0.1 mg/kg bw. Some commodities contain natural compounds that generate CS2 (36-201). The JMPR 2004 evaluated propineb and proposed MRLs for the use of propineb alone and for the use of dithiocarbamates including propineb in several commodities (37-127). CCPR agreed not to establish separate MRLs for propineb as the residue definition applies to all dithiocarbamates (37-128)."
